DATE,SPCS20RSA_PCH
2000-02-01,1.09632
2000-03-01,1.07319
2000-04-01,1.17977
2000-05-01,1.20809
2000-06-01,1.09233
2000-07-01,0.68748
2000-08-01,0.67898
2000-09-01,0.69413
2000-10-01,0.80722
2000-11-01,0.99085
2000-12-01,1.11165
2001-01-01,1.12041
2001-02-01,0.94943
2001-03-01,0.83971
2001-04-01,0.65634
2001-05-01,0.39726
2001-06-01,0.51505
2001-07-01,0.51057
2001-08-01,0.63715
2001-09-01,0.66195
2001-10-01,0.55961
2001-11-01,0.48515
2001-12-01,0.33051
2002-01-01,0.57019
2002-02-01,0.68433
2002-03-01,0.92532
2002-04-01,0.96194
2002-05-01,1.13785
2002-06-01,1.16261
2002-07-01,1.17053
2002-08-01,1.10777
2002-09-01,0.93597
2002-10-01,1.00338
2002-11-01,0.94119
2002-12-01,0.97563
2003-01-01,0.78397
2003-02-01,0.72254
2003-03-01,0.67368
2003-04-01,0.62958
2003-05-01,0.64414
2003-06-01,0.55137
2003-07-01,0.85096
2003-08-01,1.00829
2003-09-01,1.19081
2003-10-01,1.19040
2003-11-01,1.24665
2003-12-01,1.30092
2004-01-01,1.23782
2004-02-01,1.25238
2004-03-01,1.54118
2004-04-01,1.55581
2004-05-01,1.50072
2004-06-01,1.57916
2004-07-01,1.26699
2004-08-01,1.01234
2004-09-01,0.94169
2004-10-01,0.96826
2004-11-01,1.04489
2004-12-01,1.15504
2005-01-01,1.40504
2005-02-01,1.52265
2005-03-01,1.63022
2005-04-01,1.27009
2005-05-01,1.09697
2005-06-01,1.05604
2005-07-01,0.97556
2005-08-01,1.03892
2005-09-01,1.16491
2005-10-01,1.15675
2005-11-01,1.14477
2005-12-01,1.01373
2006-01-01,0.78851
2006-02-01,0.78106
2006-03-01,0.38177
2006-04-01,0.24688
2006-05-01,-0.07082
2006-06-01,-0.34001
2006-07-01,-0.42318
2006-08-01,-0.40238
2006-09-01,-0.25790
2006-10-01,-0.01776
2006-11-01,0.05085
2006-12-01,-0.08719
2007-01-01,0.13157
2007-02-01,0.16095
2007-03-01,-0.05945
2007-04-01,-0.52409
2007-05-01,-0.91059
2007-06-01,-1.08733
2007-07-01,-1.00720
2007-08-01,-0.99132
2007-09-01,-0.90749
2007-10-01,-1.11092
2007-11-01,-1.60986
2007-12-01,-1.49274
2008-01-01,-1.59885
2008-02-01,-1.97061
2008-03-01,-1.92351
2008-04-01,-1.52708
2008-05-01,-1.67149
2008-06-01,-1.40486
2008-07-01,-1.66180
2008-08-01,-1.38907
2008-09-01,-1.85187
2008-10-01,-1.77129
2008-11-01,-1.68738
2008-12-01,-1.90743
2009-01-01,-1.99778
2009-02-01,-1.42313
2009-03-01,-1.98524
2009-04-01,-0.81506
2009-05-01,-0.50775
2009-06-01,0.31977
2009-07-01,0.67808
2009-08-01,0.86213
2009-09-01,0.41452
2009-10-01,0.50231
2009-11-01,0.46844
2009-12-01,0.53175
2010-01-01,0.46828
2010-02-01,-0.00979
2010-03-01,-0.46521
2010-04-01,0.56670
2010-05-01,0.14104
2010-06-01,-0.15481
2010-07-01,-0.43350
2010-08-01,-0.58971
2010-09-01,-0.67987
2010-10-01,-0.64135
2010-11-01,-0.23952
2010-12-01,-0.21983
2011-01-01,-0.26361
2011-02-01,-0.37680
2011-03-01,-1.14062
2011-04-01,0.18611
2011-05-01,-0.18849
2011-06-01,-0.04710
2011-07-01,-0.02946
2011-08-01,-0.19741
2011-09-01,-0.44690
2011-10-01,-0.54586
2011-11-01,-0.51576
2011-12-01,-0.41337
2012-01-01,-0.16520
2012-02-01,-0.09416
2012-03-01,-0.27740
2012-04-01,0.91414
2012-05-01,1.14149
2012-06-01,1.12222
2012-07-01,0.66531
2012-08-01,0.67273
2012-09-01,0.63412
2012-10-01,0.68231
2012-11-01,0.69461
2012-12-01,0.89134
2013-01-01,0.83037
2013-02-01,0.85626
2013-03-01,0.92998
2013-04-01,1.91208
2013-05-01,1.39131
2013-06-01,1.16702
2013-07-01,1.11637
2013-08-01,1.15543
2013-09-01,1.13671
2013-10-01,0.93252
2013-11-01,0.73568
2013-12-01,0.54289
2014-01-01,0.56159
2014-02-01,0.39774
2014-03-01,0.43980
2014-04-01,0.41413
2014-05-01,0.17001
2014-06-01,0.17022
2014-07-01,0.05199
2014-08-01,0.05724
2014-09-01,0.43354
2014-10-01,0.54391
2014-11-01,0.45037
2014-12-01,0.60191
2015-01-01,0.47843
2015-02-01,0.74690
2015-03-01,0.44676
2015-04-01,0.34763
2015-05-01,0.30794
2015-06-01,0.29831
2015-07-01,0.28958
2015-08-01,0.12865
2015-09-01,0.72477
2015-10-01,0.56062
2015-11-01,0.60978
2015-12-01,0.47052
2016-01-01,0.45001
2016-02-01,0.40603
2016-03-01,0.51905
2016-04-01,0.32350
2016-05-01,0.24829
2016-06-01,0.31167
2016-07-01,0.32429
2016-08-01,0.12532
2016-09-01,0.73455
2016-10-01,0.48911
2016-11-01,0.65166
2016-12-01,0.68845
2017-01-01,0.65106
2017-02-01,0.50435
2017-03-01,0.53857
2017-04-01,0.17937
2017-05-01,0.35758
2017-06-01,0.30249
2017-07-01,0.52177
2017-08-01,0.11809
2017-09-01,1.06792
2017-10-01,0.60690
2017-11-01,0.65125
2017-12-01,0.58921
2018-01-01,0.70084
2018-02-01,0.79519
2018-03-01,0.55720
2018-04-01,0.09143
2018-05-01,0.25836
2018-06-01,0.21116
2018-07-01,0.12901
2018-08-01,-0.22608
2018-09-01,0.73040
2018-10-01,0.36696
2018-11-01,0.20555
2018-12-01,0.15195
2019-01-01,0.09186
2019-02-01,0.23102
2019-03-01,0.29758
2019-04-01,0.03417
2019-05-01,0.14412
